,poi,pname_en,pname_th,lat,lon,pcat_1,pcat_2,pcat_3
45,cbi-046,Wat Yai Intharam,วัดใหญ่อินทาราม,13.363902,100.987629,วัฒนธรรม,วัด,ศาสนสถาน
46,cbi-047,Wat Ang Sila,วัดอ่างศิลา,13.337752,100.927412,วัฒนธรรม,วัด,ศาสนสถาน
47,cbi-048,Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),13.32863,100.923071,วัฒนธรรม,ศาสนสถาน,-
48,cbi-050,Phra Phanusbadi Hall,หอพระพนัสบดี,13.442911,101.183778,วัฒนธรรม,วัด,ศาสนสถาน
49,cbi-051,Phra Buddha Shihing Hall,หอพระพุทธสิหิงค์,13.36025,100.98345,วัฒนธรรม,วัด,ศาสนสถาน
50,cbi-052,Beyond Limits park,บียอนลิมิตปาร์ค,12.77472,100.906583,นันทนาการ,สวนสนุก,-
51,cbi-053,J park Sriracha,เจปาร์ค ศรีราชา,13.153624,100.983732,นันทนาการ,ตลาด,-
52,cbi-054,Pattaya Sheep Farm,ฟาร์มแกะพัทยา,12.973867,100.975405,นันทนาการ,ฟาร์ม,-
53,cbi-055,Walking Street Pattaya,ถนนคนเดินพัทยา,12.926645,100.873911,นันทนาการ,ตลาด,-
54,cbi-056,Khao Pratumnak (Khao Phra Bat),เขาพระตำหนัก (เขาพระบาท),12.9193,100.8691,วัฒนธรรม,วัด,ศาสนสถาน
55,cbi-057,Jungle Bungy Jump Jomtien,จังเกิล บันจี้จั๊ม จอมเทียน,12.896283,100.886937,นันทนาการ,สวนสนุก,-
56,cbi-058,Pattaya Floating Market,ตลาดน้ำสี่ภาค,12.86809,100.9042,นันทนาการ,ตลาด,-
57,cbi-059,Tiffany's Show,ทิฟฟานี่โชว์,12.949607,100.887709,นันทนาการ,-,-
58,cbi-060,Baan Sukhawadee,บ้านสุขาวดี,12.982228,100.918093,วัฒนธรรม,-,-
59,cbi-061,Pattaya Shooting Park,พัทยาชู้ทติ้ง พาร์ค,13.35,100.98333,นันทนาการ,สวนสนุก,-
60,cbi-062,Pattaya Dolphin World & Resort,พัทยาดอลฟินเวิลด์แอนด์รีสอร์ท,12.835041,100.942332,นันทนาการ,-,-
61,cbi-063,Teddy Bear Museum,พิพิธภัณฑ์ตุ๊กตาหมี,12.947181,100.884852,นันทนาการ,พิพิธภัณฑ์,-
62,cbi-064,Ripley's Museum,พิพิธภัณฑ์ริบลีส์,12.929782,100.877645,นันทนาการ,พิพิธภัณฑ์,-
63,cbi-065,Glass Art Museum,พิพิธภัณฑ์ศิลปะในขวดแก้ว,12.929364,100.900497,นันทนาการ,พิพิธภัณฑ์,-
64,cbi-066,Paintball Park,เพ้นท์บอลปาร์ค,12.929782,100.877645,นันทนาการ,สวนสนุก,-
65,cbi-067,Percula Farm,เพอคูล่าฟาร์ม,12.602742,100.95382,นันทนาการ,ฟาร์ม,-
66,cbi-068,Mimosa Pattaya,มิโมซ่า พัทยา,12.850681,100.910832,นันทนาการ,สวนสนุก,-
67,cbi-069,Pilom Thai Submarine,เรือดำน้ำวิมานใต้ทะเล,12.9253,100.8675,นันทนาการ,ธรรมชาติ,ทะเล
68,cbi-070,Thai Alangkarn Theatre,โรงละครไทยอลังการ,12.8513,100.9126,นันทนาการ,-,-
69,cbi-071,Tuxedo  Magic Theatre Pattaya,โรงละครมายากล ทักซิโด้ พัทยา,12.9459,100.887952,นันทนาการ,-,-
70,cbi-072,Silver Lake Vineyard,ไร่องุ่นซิลเวอร์เลค,12.7626,100.9604,นันทนาการ,ฟาร์ม,-
71,cbi-073,Wonder Farm,วันเดอร์ฟาร์ม,12.816162,100.914246,นันทนาการ,ฟาร์ม,-
