name,location,lat,lng
Mamis Bistro Restaurant,"{""lat"":12.92105,""lng"":100.913821}",12.92105,100.913821
"Restaurant ,creperie,pizzeria,Le petit Pigalle","{""lat"":12.9293432,""lng"":100.8922504}",12.9293432,100.8922504
Nong Bistro,"{""lat"":12.9368075,""lng"":100.9287536}",12.9368075,100.9287536
Dingeling Restaurant & Beer Garden,"{""lat"":12.9421985,""lng"":100.9387734}",12.9421985,100.9387734
THE COFFEE CLUB - Terminal 21 Pattaya,"{""lat"":12.9506603,""lng"":100.8882493}",12.9506603,100.8882493
Palace Cafe Pattaya,"{""lat"":12.9207791,""lng"":100.8763217}",12.9207791,100.8763217
사임당 ซาอิมดัง,"{""lat"":12.9459868,""lng"":100.8962571}",12.9459868,100.8962571
Totò Italian Restaurant,"{""lat"":12.899191,""lng"":100.867527}",12.899191,100.867527
Panchwati Gujarati And Indian Restaurant,"{""lat"":12.9514766,""lng"":100.8880136}",12.9514766,100.8880136
BHARATIA RECIPE VEG,"{""lat"":12.9245665,""lng"":100.8828622}",12.9245665,100.8828622
Firepork Terminal 21 Pattaya,"{""lat"":12.9503271,""lng"":100.888923}",12.9503271,100.888923
Maharani Restaurant (Indian Food বাংলাদেশি খাবার),"{""lat"":12.9305851,""lng"":100.8815762}",12.9305851,100.8815762
Coast Beach Club & Bistro Pattaya,"{""lat"":12.958861,""lng"":100.884753}",12.958861,100.884753
ครัว 3 หนุ่ม พัทยา,"{""lat"":12.921781,""lng"":100.903054}",12.921781,100.903054
Aroy Dee Pattaya,"{""lat"":12.934865,""lng"":100.885557}",12.934865,100.885557
Tulsi Gujarati Restaurant Pattaya,"{""lat"":12.9250322,""lng"":100.8745043}",12.9250322,100.8745043
Somsakdi's Restaurant,"{""lat"":12.9469648,""lng"":100.886929}",12.9469648,100.886929
MADRAS CAFE AND RESTAURANT,"{""lat"":12.9440635,""lng"":100.8883823}",12.9440635,100.8883823
Wild Fortress Restaurant,"{""lat"":13.0002202,""lng"":100.9332915}",13.0002202,100.9332915
GREEN D,"{""lat"":12.956846,""lng"":100.936224}",12.956846,100.936224
Phan Thong Riverside Dining,"{""lat"":13.4627016,""lng"":101.0162053}",13.4627016,101.0162053
ร้านอาหารกินรี อมตะนคร Kinnaree Coffee & Restaurant,"{""lat"":13.4526845,""lng"":101.0657134}",13.4526845,101.0657134
ณ ริมสวน สเต็ก&คอฟฟี่-พานทอง,"{""lat"":13.4652271,""lng"":101.095214}",13.4652271,101.095214
Kitchen One,"{""lat"":13.4195875,""lng"":101.0905541}",13.4195875,101.0905541
Halal restaurant,"{""lat"":13.4529197,""lng"":101.0261925}",13.4529197,101.0261925
Tung Jai Tham,"{""lat"":13.4372793,""lng"":101.1027182}",13.4372793,101.1027182
Project COFFEE,"{""lat"":13.4426129,""lng"":101.0593767}",13.4426129,101.0593767
Oishi Amata,"{""lat"":13.4464428,""lng"":101.0623151}",13.4464428,101.0623151
Halal restaurant,"{""lat"":13.4411292,""lng"":101.030224}",13.4411292,101.030224
Phanthong Thai Restaurant,"{""lat"":53.38580529999999,""lng"":-2.3522653}",53.38580529999999,-2.3522653
Phanthong Thai,"{""lat"":53.1439897,""lng"":-2.3654312}",53.1439897,-2.3654312
Phantong Restaurant Thailandais,"{""lat"":48.5787875,""lng"":7.7549074}",48.5787875,7.7549074
Phanthong Thai,"{""lat"":53.3202271,""lng"":-2.2378213}",53.3202271,-2.2378213
ชริม by kamolchanok อาหารไทยอร่อย กาแฟดี พนัสนิคม,"{""lat"":13.4432015,""lng"":101.1861808}",13.4432015,101.1861808
Khao Kaeng Pa Chiam (Chao Kao),"{""lat"":13.4499151,""lng"":101.1811067}",13.4499151,101.1811067
Yung Khao Restaurant,"{""lat"":13.45241,""lng"":101.176839}",13.45241,101.176839
Loetrot Duck Noodles,"{""lat"":13.4449393,""lng"":101.1820186}",13.4449393,101.1820186
พา-นัด,"{""lat"":13.4485187,""lng"":101.1806524}",13.4485187,101.1806524
ร้านดอกบัว,"{""lat"":13.4385602,""lng"":101.1791246}",13.4385602,101.1791246
