,poi,pname_en,pname_th,lat,lng,travel_time,pp_last_night,pp_morning,pp_afternoon,pp_evening,pp_night,pp_all,pop_dayofweek,pop_month
39,cbi-040,Wat Tai Ton Lan,วัดใต้ต้นลาน,13.491,101.181,97.5,0.0,0.0,0.0,0.0,0.0,1.0,0,1
40,cbi-041,Wat Pa Ampawan,วัดป่าอัมพวัน,13.29,101.042,71.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
41,cbi-042,Wat Saen Suk Suthi Wararam,วัดแสนสุขสุทธิวราราม,13.298,100.918,163.11,0.0,0.0,0.0,0.0,0.0,1.0,5,1
42,cbi-043,Wat Nong Ket Noi,วัดหนองเกตุน้อย,12.996,100.942,85.59,0.0,4.0,1.0,0.0,0.0,6.0,2,1
43,cbi-044,Wat Luang Phrom Was,วัดหลวงพรหมวาส,13.505,101.165,89.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
44,cbi-045,Wat Luang Por Yi (Wat Sattahip),วัดหลวงพ่ออี๋ (วัดสัตหีบ),12.663,100.898,83.17,0.0,1.0,0.0,0.0,0.0,1.0,5,5
45,cbi-046,Wat Yai Intharam,วัดใหญ่อินทาราม,13.364,100.988,99.73,0.0,1.0,0.0,0.0,0.0,1.0,0,12
46,cbi-047,Wat Ang Sila,วัดอ่างศิลา,13.336,100.927,112.23,0.0,0.0,0.0,0.0,0.0,1.0,0,9
47,cbi-048,Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),13.252,100.877,73.84,0.0,1.0,1.0,0.0,0.0,2.0,6,2
48,cbi-050,Phra Phanusbadi Hall,หอพระพนัสบดี,13.451,101.176,86.25,0.0,0.0,0.0,0.0,0.0,1.0,6,11
49,cbi-051,Phra Buddha Shihing Hall,หอพระพุทธสิหิงค์,13.359,100.983,94.51,0.0,0.0,0.0,0.0,0.0,1.0,5,9
50,cbi-052,Beyond Limits park,บียอนลิมิตปาร์ค,12.775,100.907,136.44,0.0,0.0,0.0,0.0,0.0,1.0,1,1
51,cbi-053,J park Sriracha,เจปาร์ค ศรีราชา,13.153,100.983,81.58,0.0,0.0,0.0,0.0,0.0,1.0,1,9
52,cbi-054,Pattaya Sheep Farm,ฟาร์มแกะพัทยา,12.973,100.976,96.31,0.0,1.0,1.0,0.0,0.0,3.0,4,8
53,cbi-055,Walking Street Pattaya,ถนนคนเดินพัทยา,12.927,100.876,111.81,2.0,7.0,5.0,8.0,3.0,24.0,5,1
54,cbi-056,Khao Pratumnak (Khao Phra Bat),เขาพระตำหนัก (เขาพระบาท),12.921,100.866,104.2,0.0,2.0,1.0,6.0,1.0,10.0,3,1
55,cbi-057,Jungle Bungy Jump Jomtien,จังเกิล บันจี้จั๊ม จอมเทียน,12.883,100.888,165.17,0.0,0.0,0.0,0.0,0.0,1.0,2,9
56,cbi-058,Pattaya Floating Market,ตลาดน้ำสี่ภาค,12.868,100.905,82.01,0.0,3.0,5.0,4.0,0.0,12.0,0,12
57,cbi-059,Tiffany's Show,ทิฟฟานี่โชว์,12.948,100.887,118.86,0.0,1.0,1.0,2.0,1.0,4.0,2,1
