ghash,lat,lon,gtype,poi,pname_th,pname_en,city_code
12.930-100.780,12.93,100.78,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.930-100.790,12.93,100.79,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.920-100.790,12.92,100.79,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.920-100.780,12.92,100.78,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.920-100.770,12.92,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.920-100.760,12.92,100.76,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.910-100.760,12.91,100.76,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.910-100.770,12.91,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.910-100.780,12.91,100.78,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.900-100.780,12.9,100.78,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.900-100.770,12.9,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.890-100.770,12.89,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
13.170-100.790,13.17,100.79,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.170-100.800,13.17,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.170-100.810,13.17,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.170-100.820,13.17,100.82,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.170-100.830,13.17,100.83,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.830,13.16,100.83,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.820,13.16,100.82,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.810,13.16,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.800,13.16,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.790,13.16,100.79,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.150-100.790,13.15,100.79,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.150-100.800,13.15,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.150-100.810,13.15,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.140-100.800,13.14,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.140-100.810,13.14,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.130-100.800,13.13,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.130-100.810,13.13,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.120-100.800,13.12,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.120-100.810,13.12,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.110-100.800,13.11,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.100-100.800,13.1,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.110-100.810,13.11,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.140-100.820,13.14,100.82,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.150-100.830,13.15,100.83,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
12.805-100.912,12.805,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.805-100.913,12.805,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.806-100.913,12.806,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.807-100.913,12.807,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.808-100.913,12.808,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.809-100.913,12.809,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.809-100.912,12.809,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.810-100.913,12.81,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.810-100.912,12.81,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.811-100.912,12.811,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.812-100.912,12.812,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.813-100.911,12.813,100.911,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.812-100.911,12.812,100.911,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.900-100.850,12.9,100.85,1000,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.890-100.860,12.89,100.86,1000,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.880-100.870,12.88,100.87,1000,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.870-100.880,12.87,100.88,1000,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.869-100.890,12.869,100.89,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.868-100.890,12.868,100.89,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.868-100.891,12.868,100.891,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
