,Unnamed: 0,poi,pname_en,pname_th,lat,lon,travel_time,pp_last_night,pp_morning,pp_afternoon,pp_evening,pp_night,pp_all,date
10212,10212,cbi-001,Laem Thaen,แหลมแท่น,13.3014,100.9008,,0,0,0,0,0,0,2019-09-01
10294,10294,cbi-084,Pattaya Elephant Village,หมู่บ้านช้างพัทยา,12.88072222,100.9281667,135.66666669999998,0,2,1,0,0,3,2019-09-01
10293,10293,cbi-083,Sriracha Tiger Zoo,สวนเสือศรีราชา,13.14935,101.0119,137.52068069999999,0,52,17,1,0,70,2019-09-01
10292,10292,cbi-082,Rama IX Commemoration Public Park,สวนสาธารณะเฉลิมพระเกียรติ ร.9,13.33685714,100.9560714,,0,0,0,0,0,0,2019-09-01
10291,10291,cbi-081,Khao Kheow Open Zoo,สวนสัตว์เปิดเขาเขียว,13.205,101.055,82.87301587,0,17,8,0,0,25,2019-09-01
10290,10290,cbi-080,Nong Ta Yu Arboretum,สวนรุกขชาติหนองตาอยู่,13.1555,100.9945,,0,0,0,0,0,0,2019-09-01
10289,10289,cbi-079,Big Bee Garden,สวนผึ้งบิ๊กบี,12.974,100.9675,81.33333333,0,2,4,2,1,9,2019-09-01
10288,10288,cbi-078,Panarak Forest Park,สวนป่าพนารักษ์,12.9275,100.948,,0,0,0,0,0,0,2019-09-01
10287,10287,cbi-077,Nong Nooch Tropical Botanical Garden,สวนนงนุช,12.7663871,100.9320645,136.35,0,3,5,3,0,11,2019-09-01
10286,10286,cbi-076,Elephant Park (Krathing Lai),สวนช้าง (กระทิงลาย),12.985999999999999,100.956,43.88888889,0,4,5,0,0,9,2019-09-01
10285,10285,cbi-075,Institute of Marine Science Burapha University,สถาบันวิทยาศาสตร์ทางทะเล มหาวิทยาลัยบูรพา,13.2845,100.9245,32.0,1,0,0,0,0,1,2019-09-01
10284,10284,cbi-074,Sea Turtle Conservation Center Sattahip Naval Base,ศูนย์อนุรักษ์พันธุ์เต่าทะเล ฐานทัพเรือสัตหีบ,12.6354,100.9252,,0,0,0,0,0,0,2019-09-01
10295,10295,cbi-085,Bali Hai Cape,แหลมบาลีฮาย,12.92672727,100.86690909999999,74.5,0,1,2,1,1,5,2019-09-01
10283,10283,cbi-073,Wonder Farm,วันเดอร์ฟาร์ม,12.7805,100.956,,0,0,0,0,0,0,2019-09-01
10281,10281,cbi-071,Tuxedo  Magic Theatre Pattaya,โรงละครมายากล ทักซิโด้ พัทยา,12.9465,100.889,130.3,0,2,1,4,1,8,2019-09-01
10280,10280,cbi-070,Thai Alangkarn Theatre,โรงละครไทยอลังการ,12.8505,100.9145,,0,0,0,0,0,0,2019-09-01
10279,10279,cbi-069,Pilom Thai Submarine,เรือดำน้ำวิมานใต้ทะเล,12.923,100.885,,0,0,0,0,0,0,2019-09-01
10278,10278,cbi-068,Mimosa Pattaya,มิโมซ่า พัทยา,12.8395,100.912,86.0,0,0,0,1,0,1,2019-09-01
10277,10277,cbi-067,Percula Farm,เพอคูล่าฟาร์ม,12.602,100.95299999999999,,0,0,0,0,0,0,2019-09-01
10276,10276,cbi-066,Paintball Park,เพ้นท์บอลปาร์ค,12.905999999999999,100.883,,0,0,0,0,0,0,2019-09-01
10275,10275,cbi-065,Glass Art Museum,พิพิธภัณฑ์ศิลปะในขวดแก้ว,12.956,100.90700000000001,,0,0,0,0,0,0,2019-09-01
10274,10274,cbi-064,Ripley's Museum,พิพิธภัณฑ์ริบลีส์,12.927999999999999,100.87799999999999,61.0,0,1,1,1,1,4,2019-09-01
10273,10273,cbi-063,Teddy Bear Museum,พิพิธภัณฑ์ตุ๊กตาหมี,12.946,100.8845,66.4,0,2,1,2,1,6,2019-09-01
10272,10272,cbi-062,Pattaya Dolphin World & Resort,พัทยาดอลฟินเวิลด์แอนด์รีสอร์ท,12.834000000000001,100.9415,67.33333333,0,2,1,1,0,4,2019-09-01
10271,10271,cbi-061,Pattaya Shooting Park,พัทยาชู้ทติ้ง พาร์ค,12.8635,100.9155,,0,0,0,0,0,0,2019-09-01
10282,10282,cbi-072,Silver Lake Vineyard,ไร่องุ่นซิลเวอร์เลค,12.75837037,100.9625556,60.98333333,0,4,6,2,0,12,2019-09-01
10270,10270,cbi-060,Baan Sukhawadee,บ้านสุขาวดี,12.9815,100.9175,97.07142857,0,2,11,7,0,20,2019-09-01
10296,10296,cbi-086,Under Water World Pattaya,อันเดอร์ วอเตอร์ เวิล์ด พัทยา,12.8965,100.8955,53.0,0,0,2,0,0,2,2019-09-01
10298,10298,cbi-088,Bang Phra Reservoir,อ่างเก็บน้ำบางพระ (เขตห้ามล่าสัตว์ป่าอ่างเก็บน้ำบางพระ),13.22985714,100.99571429999999,,0,0,0,0,0,0,2019-09-01
10322,10322,cbi-112,Astroscience Center,ศูนย์วิทยาศาสตร์ ดาราศาสตร์,13.338,100.955,,0,0,0,0,0,0,2019-09-01
10321,10321,cbi-111,Royal Battleship Jakgreenrubet,เรือหลวงจักรีนฤเบศร,12.6255,100.913,,0,0,0,0,0,0,2019-09-01
10320,10320,cbi-110,Marine Corps Museum,พิพิธภัณฑ์นาวิกโยธิน,12.6625,100.86200000000001,,0,0,0,0,0,0,2019-09-01
10319,10319,cbi-109,Thai Island and Sea Natural History Museum (Khao Ma Jo),พิพิธภัณฑ์ธรรมชาติวิทยาเกาะและทะเลไทย (เขาหมาจอ),12.602,100.95,,0,0,0,0,0,0,2019-09-01
10318,10318,cbi-108,Red Building Chaloem Phra Kiat Museum,ตึกแดงพิพิธภัณฑ์เฉลิมพระเกียรติ,13.34,100.9255,53.0,0,1,0,0,0,1,2019-09-01
10317,10317,cbi-107,Three Kingdoms Park,อุทยานสามก๊ก,12.90428571,100.976,,0,0,0,0,0,0,2019-09-01
10316,10316,cbi-106,Eastern Art and Culture Hall Burapha University,หอศิลปะและวัฒนธรรมภาคตะวันออก มหาวิทยาลัยบูรพา,13.285,100.925,,0,0,0,0,0,0,2019-09-01
10315,10315,cbi-105,Chong Samae San Village,หมู่บ้านช่องแสมสาร,12.60266667,100.9606667,,0,0,0,0,0,0,2019-09-01
10314,10314,cbi-104,Karen Village,หมู่บ้านกะเหรี่ยง คอยาว จำลอง,12.877,100.91,51.0,0,3,20,5,0,28,2019-09-01
10313,10313,cbi-103,Chollamarkwithi Bridge 84 Years,สะพานชลมารควิถี 84 พรรษา จ.ชลบุรี,13.37576923,100.97823079999999,,0,0,0,0,0,0,2019-09-01
10312,10312,cbi-102,4D Replica Ceremonial Ship Show Center,ศูนย์แสดงเรือพระราชพิธีจำลอง 4 มิติ,12.9335,100.904,,0,0,0,0,0,0,2019-09-01
10297,10297,cbi-087,Alcazar Show,อัลคาซาร์โชว์,12.9425,100.8885,133.3557692,0,5,2,10,2,19,2019-09-01
10311,10311,cbi-101,Phanus Nikhom Exhibition Center,ศูนย์จักสานพนัสนิคม,13.455,101.1795,,0,0,0,0,0,0,2019-09-01
10309,10309,cbi-099,Vihara Xian (Anekkuson Sala),วิหารเซียน (เอนกกุศลศาลา),12.786875,100.954875,73.0,0,1,1,0,0,2,2019-09-01
10308,10308,cbi-098,Wat Sanga See,วัดสังกะสี,13.40166667,101.0436667,,0,0,0,0,0,0,2019-09-01
10307,10307,cbi-097,Wat Thamnimit,วัดธรรมนิมิตต์,13.3762,101.0006,,0,0,0,0,0,0,2019-09-01
10306,10306,cbi-096,Mini Town,เมืองจำลอง,12.95354545,100.9098636,135.225,2,1,4,6,1,14,2019-09-01
10305,10305,cbi-095,Thai House Museum,พิพิธภัณฑ์เรือนไทย,13.43725,101.052,,0,0,0,0,0,0,2019-09-01
10304,10304,cbi-094,Nong Mon Market,ตลาดหนองมน,13.2808,100.9356,71.0,0,0,1,0,0,1,2019-09-01
10303,10303,cbi-093,Ang Sila Old Market 133 years old,ตลาดเก่าอ่างศิลา 133 ปี,13.341,100.92671429999999,53.0,0,1,0,0,0,1,2019-09-01
10302,10302,cbi-092,Ban Cha Ngao Chinese Community,ชุมชนจีนบ้านชากแง้ว,12.832625,100.96475,,0,0,0,0,0,0,2019-09-01
10301,10301,cbi-091,Million Years Stone Park and Pattaya Crocodile Farm,อุทยานหินล้านปีและฟาร์มจระเข้พัทยา,12.956875,100.941125,94.66547619,0,10,11,2,0,23,2019-09-01
10300,10300,cbi-090,Easy Kart Pattaya,อีซี่คาร์ท พัทยา,12.92266667,100.8676667,90.59920635,0,3,1,12,4,20,2019-09-01
10299,10299,cbi-089,Map Prachan Reservoir,อ่างเก็บน้ำมาบประชัน,12.93417895,100.9641579,84.85714286,0,16,6,0,0,22,2019-09-01
10310,10310,cbi-100,Chao Por Khao Yai Shrine,ศาลเจ้าพ่อเขาใหญ่,13.168,100.8065,,0,0,0,0,0,0,2019-09-01
10269,10269,cbi-059,Tiffany's Show,ทิฟฟานี่โชว์,12.9485,100.887,83.5,0,0,1,3,0,4,2019-09-01
10213,10213,cbi-002,Khao Sam Muk,เขาสามมุข,13.3083,100.90655,96.0,0,1,1,0,0,2,2019-09-01
10267,10267,cbi-057,Jungle Bungy Jump Jomtien,จังเกิล บันจี้จั๊ม จอมเทียน,12.883,100.88799999999999,,0,0,0,0,0,0,2019-09-01
10237,10237,cbi-026,Tham Phang Beach,หาดถ้ำพัง อ่าวอัษฎางค์,13.145,100.8065,,0,0,0,0,0,0,2019-09-01
10236,10236,cbi-025,Khao Cha-ang Ha Yod Cave,ถ้ำเขาชะอางค์ห้ายอด,13.16125,101.5970833,,0,0,0,0,0,0,2019-09-01
10235,10235,cbi-024,Khao Cha-ang Song Krueng Cave,ถ้ำเขาชะอางค์ทรงเครื่อง,13.1995,101.58,,0,0,0,0,0,0,2019-09-01
10234,10234,cbi-023,Samae Beach (Koh Larn),หาดแสม (เกาะล้าน),12.91108333,100.7695,,0,0,0,0,0,0,2019-09-01
10233,10233,cbi-022,Wonnapa Beach,หาดวอนนภา,13.26833333,100.9233333,,0,0,0,0,0,0,2019-09-01
10232,10232,cbi-021,Wong Amat Beach,หาดวงศ์อำมาตย์,12.96235294,100.8833529,65.44444444,0,0,0,9,0,9,2019-09-01
10231,10231,cbi-020,Wong Phra Chan Beach,หาดวงพระจันทร์,12.9725,100.8925,117.0,0,0,0,1,1,2,2019-09-01
10230,10230,cbi-019,Yin Yom Beach,หาดยินยอม,12.90844444,100.85677779999999,106.55,1,1,1,0,6,9,2019-09-01
10229,10229,cbi-018,Pattaya Beach,หาดพัทยา,12.9375,100.8814167,94.84537037,1,12,5,11,2,31,2019-09-01
10228,10228,cbi-017,Nang Ram Beach,หาดนางรำ,12.61466667,100.9216667,,0,0,0,0,0,0,2019-09-01
10227,10227,cbi-016,Nual Beach (Koh Larn),หาดนวล (เกาะล้าน),12.9002,100.7766,,0,0,0,0,0,0,2019-09-01
10238,10238,cbi-027,Khao Yai Waterfall,น้ำตกเขาใหญ่,13.2655,101.64399999999999,,0,0,0,0,0,0,2019-09-01
10226,10226,cbi-015,Thian Thale Beach,หาดเทียนทะเล,12.6415,100.92833329999999,,0,0,0,0,0,0,2019-09-01
10224,10224,cbi-013,Toei Ngam Beach,หาดเตยงาม,12.669,100.861,158.5,0,1,1,0,0,2,2019-09-01
10223,10223,cbi-012,Tawaen Beach (Koh Larn),หาดตาแหวน (เกาะล้าน),12.924625,100.777875,,0,0,0,0,0,0,2019-09-01
10222,10222,cbi-011,Dongtan Beach,หาดดงตาล,12.65888889,100.91577779999999,,0,0,0,0,0,0,2019-09-01
10221,10221,cbi-010,Jomtien Beach,หาดจอมเทียน,12.89036111,100.87138890000001,92.67560916,7,26,10,20,27,90,2019-09-01
10220,10220,cbi-009,Baan Amphur Beach,ชายหาดบ้านอำเภอ,12.809000000000001,100.9123077,40.0,0,1,0,0,0,1,2019-09-01
10219,10219,cbi-008,Koh Sichang,เกาะสีชัง,13.14541667,100.8079167,,0,0,0,0,0,0,2019-09-01
10218,10218,cbi-007,Koh Larn,เกาะล้าน,12.91461538,100.77461540000002,,0,0,0,0,0,0,2019-09-01
10217,10217,cbi-006,Koh Klung Badan,เกาะกลึงบาดาล,12.895,100.675,,0,0,0,0,0,0,2019-09-01
10216,10216,cbi-005,Aow Thung Prong,อ่าวทุ่งโปรง,12.693,100.8555,,0,0,0,0,0,0,2019-09-01
10215,10215,cbi-004,Center for Nature and Conservation of Mangrove Forest for Ecotourism,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,13.3415,100.9425,,0,0,0,0,0,0,2019-09-01
10214,10214,cbi-003,Nam Tok Khao Chao Bo Thong,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,13.2505,101.376,,0,0,0,0,0,0,2019-09-01
10225,10225,cbi-014,Sai Kaew Beach,หาดทรายแก้ว,12.74188889,100.8405556,,0,0,0,0,0,0,2019-09-01
10239,10239,cbi-028,Chan Ta Thera Waterfall,น้ำตกชันตาเถร,13.24,101.04,,0,0,0,0,0,0,2019-09-01
10268,10268,cbi-058,Pattaya Floating Market,ตลาดน้ำสี่ภาค,12.86771429,100.9048571,102.02564100000001,0,4,8,8,0,20,2019-09-01
10241,10241,cbi-030,Khao Chee Chan,เขาชีจรรย์,12.76422857,100.9549143,55.0,0,0,1,0,0,1,2019-09-01
10266,10266,cbi-056,Khao Pratumnak (Khao Phra Bat),เขาพระตำหนัก (เขาพระบาท),12.92055556,100.8661111,100.8,0,3,1,3,0,7,2019-09-01
10265,10265,cbi-055,Walking Street Pattaya,ถนนคนเดินพัทยา,12.9274,100.8758571,98.75243056,4,12,10,11,5,42,2019-09-01
10264,10264,cbi-054,Pattaya Sheep Farm,ฟาร์มแกะพัทยา,12.9725,100.9755,73.5,0,3,1,0,0,4,2019-09-01
10263,10263,cbi-053,J park Sriracha,เจปาร์ค ศรีราชา,13.1535,100.98299999999999,56.0,0,0,0,1,0,1,2019-09-01
10262,10262,cbi-052,Beyond Limits park,บียอนลิมิตปาร์ค,12.7755,100.90700000000001,,0,0,0,0,0,0,2019-09-01
10261,10261,cbi-051,Phra Buddha Shihing Hall,หอพระพุทธสิหิงค์,13.35933333,100.9833333,,0,0,0,0,0,0,2019-09-01
10260,10260,cbi-050,Phra Phanusbadi Hall,หอพระพนัสบดี,13.450999999999999,101.1765,,0,0,0,0,0,0,2019-09-01
10240,10240,cbi-029,Koh Loi Sriracha,เกาะลอยศรีราชา,13.1738,100.9195,,0,0,0,0,0,0,2019-09-01
10258,10258,cbi-047,Wat Ang Sila,วัดอ่างศิลา,13.3365,100.9275,99.0,0,0,1,0,0,1,2019-09-01
10257,10257,cbi-046,Wat Yai Intharam,วัดใหญ่อินทาราม,13.3635,100.9875,,0,0,0,0,0,0,2019-09-01
10256,10256,cbi-045,Wat Luang Por Yi (Wat Sattahip),วัดหลวงพ่ออี๋ (วัดสัตหีบ),12.6632,100.8976,64.75,0,2,1,0,0,3,2019-09-01
10255,10255,cbi-044,Wat Luang Phrom Was,วัดหลวงพรหมวาส,13.50533333,101.1653333,,0,0,0,0,0,0,2019-09-01
10259,10259,cbi-048,Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),13.25185714,100.8774286,49.0,0,0,1,1,0,2,2019-09-01
10253,10253,cbi-042,Wat Saen Suk Suthi Wararam,วัดแสนสุขสุทธิวราราม,13.2985,100.9175,,0,0,0,0,0,0,2019-09-01
10254,10254,cbi-043,Wat Nong Ket Noi,วัดหนองเกตุน้อย,12.9956,100.9418,135.93333330000002,0,10,5,0,1,16,2019-09-01
10243,10243,cbi-032,King Rama V Memorial Chonburi,พระบรมรูปพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,13.362,100.98299999999999,,0,0,0,0,0,0,2019-09-01
10244,10244,cbi-033,Phra Phuttha Ming Muang,พระพุทธมิ่งเมือง,13.4535,101.184,,0,0,0,0,0,0,2019-09-01
10245,10245,cbi-034,Phra Phut Maha Vajira Uttamo Pas Sasada,พระพุธมหาวชิรอุตตโมภาสศาสดา,12.765,100.9565,,0,0,0,0,0,0,2019-09-01
10246,10246,cbi-035,Phra Jutha Tucharatchathan Museum,พิพิธภัณฑ์พระจุฑาธุชราชฐาน,13.148,100.8175,,0,0,0,0,0,0,2019-09-01
10242,10242,cbi-031,The Sanctuary of Truth,ปราสาทสัจธรรม,12.9725,100.8885,,0,0,0,0,0,0,2019-09-01
10248,10248,cbi-037,Wat Khok Phanom Dee,วัดโคกพนมดี,13.585,101.1405,,0,0,0,0,0,0,2019-09-01
10249,10249,cbi-038,Wat Chum Saeng Si Wanaram,วัดชุมแสงศรีวนาราม,13.3665,101.2465,,0,0,0,0,0,0,2019-09-01
10250,10250,cbi-039,Wat Yan Sangwararam Woramahawihan,วัดญาณสังวรารามวรมหาวิหาร,12.7895,100.9595,,0,0,0,0,0,0,2019-09-01
10251,10251,cbi-040,Wat Tai Ton Lan,วัดใต้ต้นลาน,13.491,101.181,,0,0,0,0,0,0,2019-09-01
10252,10252,cbi-041,Wat Pa Ampawan,วัดป่าอัมพวัน,13.2895,101.042,,0,0,0,0,0,0,2019-09-01
10247,10247,cbi-036,Wat Khao Phra Phutthabat Bang Sai,วัดเขาพระพุทธบาทบางทราย,13.392000000000001,100.988,,0,0,0,0,0,0,2019-09-01
10395,10395,cbi-074,Sea Turtle Conservation Center Sattahip Naval Base,ศูนย์อนุรักษ์พันธุ์เต่าทะเล ฐานทัพเรือสัตหีบ,12.6354,100.9252,,0,0,0,0,0,0,2019-09-02
10396,10396,cbi-075,Institute of Marine Science Burapha University,สถาบันวิทยาศาสตร์ทางทะเล มหาวิทยาลัยบูรพา,13.2845,100.9245,78.0,0,1,1,0,0,2,2019-09-02
10397,10397,cbi-076,Elephant Park (Krathing Lai),สวนช้าง (กระทิงลาย),12.985999999999999,100.956,59.375,0,1,6,1,0,8,2019-09-02
10398,10398,cbi-077,Nong Nooch Tropical Botanical Garden,สวนนงนุช,12.7663871,100.9320645,128.45,0,2,8,4,0,14,2019-09-02
10401,10401,cbi-080,Nong Ta Yu Arboretum,สวนรุกขชาติหนองตาอยู่,13.1555,100.9945,,0,0,0,0,0,0,2019-09-02
10400,10400,cbi-079,Big Bee Garden,สวนผึ้งบิ๊กบี,12.974,100.9675,87.62727273,0,5,6,3,2,16,2019-09-02
10402,10402,cbi-081,Khao Kheow Open Zoo,สวนสัตว์เปิดเขาเขียว,13.205,101.055,109.8235294,0,7,9,3,0,19,2019-09-02
10403,10403,cbi-082,Rama IX Commemoration Public Park,สวนสาธารณะเฉลิมพระเกียรติ ร.9,13.33685714,100.9560714,,0,0,0,0,0,0,2019-09-02
10404,10404,cbi-083,Sriracha Tiger Zoo,สวนเสือศรีราชา,13.14935,101.0119,113.01461040000001,0,34,26,5,0,65,2019-09-02
10399,10399,cbi-078,Panarak Forest Park,สวนป่าพนารักษ์,12.9275,100.948,,0,0,0,0,0,0,2019-09-02
10394,10394,cbi-073,Wonder Farm,วันเดอร์ฟาร์ม,12.7805,100.956,80.0,0,0,1,0,0,1,2019-09-02
10381,10381,cbi-060,Baan Sukhawadee,บ้านสุขาวดี,12.9815,100.9175,75.51666667,0,2,6,12,1,21,2019-09-02
10392,10392,cbi-071,Tuxedo  Magic Theatre Pattaya,โรงละครมายากล ทักซิโด้ พัทยา,12.9465,100.889,160.375,0,3,1,2,0,6,2019-09-02
10391,10391,cbi-070,Thai Alangkarn Theatre,โรงละครไทยอลังการ,12.8505,100.9145,,0,0,0,0,0,0,2019-09-02
10390,10390,cbi-069,Pilom Thai Submarine,เรือดำน้ำวิมานใต้ทะเล,12.923,100.885,,0,0,0,0,0,0,2019-09-02
10389,10389,cbi-068,Mimosa Pattaya,มิโมซ่า พัทยา,12.8395,100.912,58.25,0,0,2,2,0,4,2019-09-02
10388,10388,cbi-067,Percula Farm,เพอคูล่าฟาร์ม,12.602,100.95299999999999,,0,0,0,0,0,0,2019-09-02
10387,10387,cbi-066,Paintball Park,เพ้นท์บอลปาร์ค,12.905999999999999,100.883,,0,0,0,0,0,0,2019-09-02
10386,10386,cbi-065,Glass Art Museum,พิพิธภัณฑ์ศิลปะในขวดแก้ว,12.956,100.90700000000001,66.0,1,0,0,0,1,2,2019-09-02
10385,10385,cbi-064,Ripley's Museum,พิพิธภัณฑ์ริบลีส์,12.927999999999999,100.87799999999999,104.5,0,2,1,1,0,4,2019-09-02
10384,10384,cbi-063,Teddy Bear Museum,พิพิธภัณฑ์ตุ๊กตาหมี,12.946,100.8845,31.0,0,0,0,1,0,1,2019-09-02
10383,10383,cbi-062,Pattaya Dolphin World & Resort,พัทยาดอลฟินเวิลด์แอนด์รีสอร์ท,12.834000000000001,100.9415,,0,0,0,0,0,0,2019-09-02
10382,10382,cbi-061,Pattaya Shooting Park,พัทยาชู้ทติ้ง พาร์ค,12.8635,100.9155,,0,0,0,0,0,0,2019-09-02
10405,10405,cbi-084,Pattaya Elephant Village,หมู่บ้านช้างพัทยา,12.88072222,100.9281667,150.0,0,0,1,0,0,1,2019-09-02
10393,10393,cbi-072,Silver Lake Vineyard,ไร่องุ่นซิลเวอร์เลค,12.75837037,100.9625556,34.5,0,2,1,1,0,4,2019-09-02
10406,10406,cbi-085,Bali Hai Cape,แหลมบาลีฮาย,12.92672727,100.86690909999999,94.5,0,1,0,1,0,2,2019-09-02
10420,10420,cbi-099,Vihara Xian (Anekkuson Sala),วิหารเซียน (เอนกกุศลศาลา),12.786875,100.954875,,0,0,0,0,0,0,2019-09-02
10408,10408,cbi-087,Alcazar Show,อัลคาซาร์โชว์,12.9425,100.8885,130.1458333,0,3,4,7,1,15,2019-09-02
10380,10380,cbi-059,Tiffany's Show,ทิฟฟานี่โชว์,12.9485,100.887,158.25,0,0,1,2,1,4,2019-09-02
10433,10433,cbi-112,Astroscience Center,ศูนย์วิทยาศาสตร์ ดาราศาสตร์,13.338,100.955,,0,0,0,0,0,0,2019-09-02
10432,10432,cbi-111,Royal Battleship Jakgreenrubet,เรือหลวงจักรีนฤเบศร,12.6255,100.913,,0,0,0,0,0,0,2019-09-02
10431,10431,cbi-110,Marine Corps Museum,พิพิธภัณฑ์นาวิกโยธิน,12.6625,100.86200000000001,,0,0,0,0,0,0,2019-09-02
10430,10430,cbi-109,Thai Island and Sea Natural History Museum (Khao Ma Jo),พิพิธภัณฑ์ธรรมชาติวิทยาเกาะและทะเลไทย (เขาหมาจอ),12.602,100.95,,0,0,0,0,0,0,2019-09-02
10429,10429,cbi-108,Red Building Chaloem Phra Kiat Museum,ตึกแดงพิพิธภัณฑ์เฉลิมพระเกียรติ,13.34,100.9255,,0,0,0,0,0,0,2019-09-02
10428,10428,cbi-107,Three Kingdoms Park,อุทยานสามก๊ก,12.90428571,100.976,,0,0,0,0,0,0,2019-09-02
10427,10427,cbi-106,Eastern Art and Culture Hall Burapha University,หอศิลปะและวัฒนธรรมภาคตะวันออก มหาวิทยาลัยบูรพา,13.285,100.925,,0,0,0,0,0,0,2019-09-02
10426,10426,cbi-105,Chong Samae San Village,หมู่บ้านช่องแสมสาร,12.60266667,100.9606667,,0,0,0,0,0,0,2019-09-02
10425,10425,cbi-104,Karen Village,หมู่บ้านกะเหรี่ยง คอยาว จำลอง,12.877,100.91,52.4,0,2,17,6,0,25,2019-09-02
10424,10424,cbi-103,Chollamarkwithi Bridge 84 Years,สะพานชลมารควิถี 84 พรรษา จ.ชลบุรี,13.37576923,100.97823079999999,,0,0,0,0,0,0,2019-09-02
10423,10423,cbi-102,4D Replica Ceremonial Ship Show Center,ศูนย์แสดงเรือพระราชพิธีจำลอง 4 มิติ,12.9335,100.904,124.0,0,0,0,0,1,1,2019-09-02
10422,10422,cbi-101,Phanus Nikhom Exhibition Center,ศูนย์จักสานพนัสนิคม,13.455,101.1795,,0,0,0,0,0,0,2019-09-02
10421,10421,cbi-100,Chao Por Khao Yai Shrine,ศาลเจ้าพ่อเขาใหญ่,13.168,100.8065,,0,0,0,0,0,0,2019-09-02
10419,10419,cbi-098,Wat Sanga See,วัดสังกะสี,13.40166667,101.0436667,,0,0,0,0,0,0,2019-09-02
10418,10418,cbi-097,Wat Thamnimit,วัดธรรมนิมิตต์,13.3762,101.0006,36.5,1,1,0,0,0,2,2019-09-02
10417,10417,cbi-096,Mini Town,เมืองจำลอง,12.95354545,100.9098636,150.18571430000003,1,3,3,5,0,12,2019-09-02
10416,10416,cbi-095,Thai House Museum,พิพิธภัณฑ์เรือนไทย,13.43725,101.052,,0,0,0,0,0,0,2019-09-02
10415,10415,cbi-094,Nong Mon Market,ตลาดหนองมน,13.2808,100.9356,35.0,1,0,0,1,0,2,2019-09-02
10414,10414,cbi-093,Ang Sila Old Market 133 years old,ตลาดเก่าอ่างศิลา 133 ปี,13.341,100.92671429999999,,0,0,0,0,0,0,2019-09-02
10413,10413,cbi-092,Ban Cha Ngao Chinese Community,ชุมชนจีนบ้านชากแง้ว,12.832625,100.96475,,0,0,0,0,0,0,2019-09-02
10412,10412,cbi-091,Million Years Stone Park and Pattaya Crocodile Farm,อุทยานหินล้านปีและฟาร์มจระเข้พัทยา,12.956875,100.941125,62.58333333,0,1,6,2,0,9,2019-09-02
10411,10411,cbi-090,Easy Kart Pattaya,อีซี่คาร์ท พัทยา,12.92266667,100.8676667,138.9814815,0,3,2,11,0,16,2019-09-02
10410,10410,cbi-089,Map Prachan Reservoir,อ่างเก็บน้ำมาบประชัน,12.93417895,100.9641579,42.2,0,5,0,0,0,5,2019-09-02
10409,10409,cbi-088,Bang Phra Reservoir,อ่างเก็บน้ำบางพระ (เขตห้ามล่าสัตว์ป่าอ่างเก็บน้ำบางพระ),13.22985714,100.99571429999999,199.0,0,1,0,0,0,1,2019-09-02
10407,10407,cbi-086,Under Water World Pattaya,อันเดอร์ วอเตอร์ เวิล์ด พัทยา,12.8965,100.8955,62.0,0,1,2,0,0,3,2019-09-02
10379,10379,cbi-058,Pattaya Floating Market,ตลาดน้ำสี่ภาค,12.86771429,100.9048571,85.72222222,0,0,3,4,0,7,2019-09-02
10378,10378,cbi-057,Jungle Bungy Jump Jomtien,จังเกิล บันจี้จั๊ม จอมเทียน,12.883,100.88799999999999,,0,0,0,0,0,0,2019-09-02
10377,10377,cbi-056,Khao Pratumnak (Khao Phra Bat),เขาพระตำหนัก (เขาพระบาท),12.92055556,100.8661111,72.66071429,1,1,5,9,1,17,2019-09-02
10347,10347,cbi-025,Khao Cha-ang Ha Yod Cave,ถ้ำเขาชะอางค์ห้ายอด,13.16125,101.5970833,,0,0,0,0,0,0,2019-09-02
10346,10346,cbi-024,Khao Cha-ang Song Krueng Cave,ถ้ำเขาชะอางค์ทรงเครื่อง,13.1995,101.58,,0,0,0,0,0,0,2019-09-02
10345,10345,cbi-023,Samae Beach (Koh Larn),หาดแสม (เกาะล้าน),12.91108333,100.7695,,0,0,0,0,0,0,2019-09-02
10344,10344,cbi-022,Wonnapa Beach,หาดวอนนภา,13.26833333,100.9233333,,0,0,0,0,0,0,2019-09-02
10343,10343,cbi-021,Wong Amat Beach,หาดวงศ์อำมาตย์,12.96235294,100.8833529,60.28571429,0,0,3,3,1,7,2019-09-02
10342,10342,cbi-020,Wong Phra Chan Beach,หาดวงพระจันทร์,12.9725,100.8925,111.5,0,1,1,0,0,2,2019-09-02
10341,10341,cbi-019,Yin Yom Beach,หาดยินยอม,12.90844444,100.85677779999999,156.0,0,0,0,0,1,1,2019-09-02
10340,10340,cbi-018,Pattaya Beach,หาดพัทยา,12.9375,100.8814167,95.55,0,6,8,5,2,21,2019-09-02
10339,10339,cbi-017,Nang Ram Beach,หาดนางรำ,12.61466667,100.9216667,,0,0,0,0,0,0,2019-09-02
