city,lat,lon,stop_time,time_stamp,vid,pname
Chon Buri,13.397210000000001,101.050291,935.0,2020-02-20 00:00:00,14600010000000ASDN610800227,-
Chon Buri,13.297945,101.1409,362.0,2020-02-20 00:00:00,02800040000000GBN6011000410,-
Chon Buri,13.036497,101.077339,308.0,2020-02-20 00:00:00,02800040000000GBNF611100117,-
Chon Buri,13.070363,101.063028,333.0,2020-02-20 00:00:00,019000300000000001238102981,-
Chon Buri,13.372772,100.99590699999999,314.0,2020-02-20 00:00:00,048000100000000000000049127,-
Chon Buri,13.019107,101.063046,248.0,2020-02-20 00:00:01,0190002000000000001229125661,-
Chon Buri,12.934934,100.934809,1338.0,2020-02-20 00:00:01,021000800000359857082074691,-
Chon Buri,13.128673999999998,100.942903,409.0,2020-02-20 00:00:01,040000400000000142170626772,-
Chon Buri,13.417844,100.998172,264.0,2020-02-20 00:00:01,003000300000359769034337961,-
Chon Buri,12.928034,100.944614,1040.0,2020-02-20 00:00:01,02800040000000GBNF620900013,-
Chon Buri,12.949892,100.905345,217.0,2020-02-20 00:00:01,048000100000000000000048822,-
Chon Buri,12.928659,100.931792,1410.0,2020-02-20 00:00:02,080000200000000000005170673,-
Chon Buri,13.134901999999999,100.939745,359.0,2020-02-20 00:00:02,040000400000000142170626997,-
Chon Buri,13.019654,101.066264,428.0,2020-02-20 00:00:02,0190002000000000001229125431,-
Chon Buri,13.347539000000001,101.080475,437.0,2020-02-20 00:00:02,02800040000000GBN6103000503,-
Chon Buri,12.947636,100.945691,1309.0,2020-02-20 00:00:02,048000100000000000000061851,-
Chon Buri,12.877383,100.92222,660.0,2020-02-20 00:00:02,040000400000000142170626831,-
Chon Buri,13.075602,101.000385,383.0,2020-02-20 00:00:02,02800040000000GBBN610105774,-
Chon Buri,13.333010999999999,101.116788,287.0,2020-02-20 00:00:03,080000100000000000025182776,-
Chon Buri,13.02159,100.930392,1440.0,2020-02-20 00:00:03,0110005GPS4SME-190700400026,-
Chon Buri,13.181981,100.929838,399.0,2020-02-20 00:00:04,001000800000000144310102723,-
Chon Buri,13.240038,101.230142,397.0,2020-02-20 00:00:04,02800040000000GBNF611200041,-
Chon Buri,12.764664999999999,100.99158299999999,364.0,2020-02-20 00:00:04,023000300000B001GENIUS11059,-
Chon Buri,12.907585000000001,100.882937,287.0,2020-02-20 00:00:05,040000400000000142170524951,-
Chon Buri,12.934801,100.88126199999999,17.0,2020-02-20 00:00:05,040000400000000142170728382,Pattaya Beach
Chon Buri,13.455698000000002,101.06013,381.0,2020-02-20 00:00:05,080000100000000000025183314,-
Chon Buri,12.918614,100.876249,772.0,2020-02-20 00:00:05,02800040000000GBN6104000916,-
Chon Buri,13.362332,101.015123,382.0,2020-02-20 00:00:06,14600010000000ASDN620600640,-
Chon Buri,13.227977,101.152662,296.0,2020-02-20 00:00:07,02800040000000GPS2600502034,-
Chon Buri,13.073416,100.906868,398.0,2020-02-20 00:00:07,074000700000867688039798503,-
Chon Buri,12.751087,100.90559300000001,613.0,2020-02-20 00:00:07,14600010000000ASDN620500486,-
Chon Buri,13.306682,100.939779,399.0,2020-02-20 00:00:07,001000800000000144310105625,-
Chon Buri,12.96642,100.91640100000001,1440.0,2020-02-20 00:00:07,040000400000000142171032795,-
Chon Buri,12.917981,100.921093,322.0,2020-02-20 00:00:07,040000200000000835027044242,-
Chon Buri,13.343651000000001,101.058738,243.0,2020-02-20 00:00:08,14600010000000ASDN620300324,-
Chon Buri,13.050203999999999,101.049123,348.0,2020-02-20 00:00:08,001001200000010705600000047,-
Chon Buri,13.472973000000001,101.100411,305.0,2020-02-20 00:00:08,02800040000000GBNF610800157,-
Chon Buri,13.059982000000002,101.05728,349.0,2020-02-20 00:00:09,040000400000000142170524692,-
Chon Buri,13.285478,100.929067,1439.0,2020-02-20 00:00:09,132000100000000001228403791,-
Chon Buri,12.949034,100.93101,378.0,2020-02-20 00:00:09,0290003-201805-01583-000037,-
Chon Buri,13.198501,101.244535,614.0,2020-02-20 00:00:09,048000100000000000000047269,-
Chon Buri,13.400787,101.209819,1398.0,2020-02-20 00:00:09,0110005GPS4SME-191100400132,-
Chon Buri,12.948214,100.9451,410.0,2020-02-20 00:00:09,048000100000000000000063714,-
Chon Buri,13.069272999999999,100.916664,449.0,2020-02-20 00:00:09,14600010000000ASDN620500571,-
Chon Buri,13.406196,101.01568,370.0,2020-02-20 00:00:09,14600010000000ASDN620600630,-
Chon Buri,12.943567999999999,100.888817,534.0,2020-02-20 00:00:09,02800040000000GBNF620900011,-
Chon Buri,12.933997,100.89926899999999,792.0,2020-02-20 00:00:10,040000400000000142171033533,-
Chon Buri,13.200147,101.244695,118.0,2020-02-20 00:00:10,14600010000000ASDN610800280,-
Chon Buri,12.687026,100.910957,380.0,2020-02-20 00:00:10,02800040000000GBN6104000828,-
Chon Buri,13.137042000000001,100.984291,342.0,2020-02-20 00:00:11,14600010000000ASDN620600624,-
Chon Buri,13.347285000000001,101.01989,386.0,2020-02-20 00:00:11,084000400000000143190974620,-
Chon Buri,12.679181,100.95558100000001,381.0,2020-02-20 00:00:11,14600010000000ASDN620500468,-
Chon Buri,12.955496,100.91549,1440.0,2020-02-20 00:00:11,021000600000000011703908062,-
Chon Buri,13.24315,101.15274000000001,1439.0,2020-02-20 00:00:12,02800040000000GBNF620700098,-
Chon Buri,13.08482,101.017199,1439.0,2020-02-20 00:00:12,14600010000000ASDN610800234,-
Chon Buri,12.954550999999999,100.91193,525.0,2020-02-20 00:00:12,021000600000000011703907064,-
Chon Buri,13.176931,100.940892,397.0,2020-02-20 00:00:12,040000400000000142181054520,-
Chon Buri,12.668038000000001,100.917837,1239.0,2020-02-20 00:00:13,084000400000000143190770306,-
Chon Buri,12.959378,100.901494,715.0,2020-02-20 00:00:13,021000100000354725067344444,-
Chon Buri,12.933983999999999,100.89922800000001,1439.0,2020-02-20 00:00:13,040000400000000142170831471,-
Chon Buri,13.134854999999998,100.93973000000001,359.0,2020-02-20 00:00:14,040000400000000142170526515,-
Chon Buri,12.82485,100.92088000000001,556.0,2020-02-20 00:00:14,0290003-201805-01583-000040,-
Chon Buri,13.452935,101.04572399999999,497.0,2020-02-20 00:00:14,001000800000000102250118424,-
Chon Buri,13.105114,100.917909,316.0,2020-02-20 00:00:15,019000200000000001218205215,-
Chon Buri,13.435927,101.056735,353.0,2020-02-20 00:00:15,040000400000000142170526506,-
Chon Buri,13.437079999999998,100.99905,343.0,2020-02-20 00:00:15,074000200000863835028953433,-
Chon Buri,13.178289999999999,100.929198,386.0,2020-02-20 00:00:16,14600010000000ASDN610800104,-
Chon Buri,13.460148,101.086474,436.0,2020-02-20 00:00:17,077000500000000000000412236,-
Chon Buri,13.372882,101.002151,1434.0,2020-02-20 00:00:17,14600010000000ASDN620500454,-
Chon Buri,13.081726,100.907946,388.0,2020-02-20 00:00:17,02800040000000GBN6104000836,-
Chon Buri,12.92046,100.944841,1433.0,2020-02-20 00:00:17,0110005GPS4SME-191100400057,-
Chon Buri,13.165248000000002,100.947834,942.0,2020-02-20 00:00:17,080000200000000000025171587,-
Chon Buri,13.410687,101.022245,375.0,2020-02-20 00:00:17,084000400000000142180442436,-
Chon Buri,13.286032,100.934224,364.0,2020-02-20 00:00:18,084000200000863835024996501,-
Chon Buri,13.187486999999999,101.014323,346.0,2020-02-20 00:00:18,02800040000000GPS2600502037,-
Chon Buri,13.066313000000001,101.002923,345.0,2020-02-20 00:00:18,003000900000000011772406782,-
Chon Buri,13.457315,101.061551,1439.0,2020-02-20 00:00:19,084000100000863835027712657,-
Chon Buri,13.020064,101.14021600000001,302.0,2020-02-20 00:00:19,019000500000520182701000390,-
Chon Buri,12.925785000000001,100.93632099999999,1439.0,2020-02-20 00:00:19,040000400000000142170730907,-
Chon Buri,13.061406,101.17258000000001,359.0,2020-02-20 00:00:19,0190002000000000001229125582,-
Chon Buri,12.927916,100.944389,781.0,2020-02-20 00:00:20,02800040000000GBNF620900016,-
Chon Buri,12.87396,100.887525,404.0,2020-02-20 00:00:20,033000400000863835029920415,-
Chon Buri,13.020699,101.13861,283.0,2020-02-20 00:00:20,007000500000000TA6111064380,-
Chon Buri,13.260743,100.933576,386.0,2020-02-20 00:00:20,14600010000000ASDN620600628,-
Chon Buri,12.917664,100.896341,483.0,2020-02-20 00:00:20,040000400000000142170730680,-
Chon Buri,13.397435,101.021361,1440.0,2020-02-20 00:00:20,023000300000B000GENIUS11054,-
Chon Buri,12.943332,100.935567,1439.0,2020-02-20 00:00:20,040000200000000835027020481,-
Chon Buri,13.071182,101.170247,397.0,2020-02-20 00:00:20,019000300000000001238103038,-
Chon Buri,13.012144000000001,100.930746,359.0,2020-02-20 00:00:20,132000100000000001228111678,-
Chon Buri,13.049334,101.007715,370.0,2020-02-20 00:00:20,003000900000000011772406252,-
Chon Buri,12.94937,100.89564,470.0,2020-02-20 00:00:21,040000400000000142170728391,-
Chon Buri,12.830681,100.91145999999999,660.0,2020-02-20 00:00:21,14600010000000ASDN620300315,-
Chon Buri,12.95348,100.90202,1440.0,2020-02-20 00:00:21,125000100000000142170323192,-
Chon Buri,13.473153,101.100376,277.0,2020-02-20 00:00:21,02800040000000GBNF610800156,-
Chon Buri,12.635480000000001,100.963411,697.0,2020-02-20 00:00:22,040000200000864507030013519,-
Chon Buri,12.92587,100.91469000000001,353.0,2020-02-20 00:00:22,040000400000000142170524485,-
Chon Buri,13.050198,101.049092,350.0,2020-02-20 00:00:22,001001200000010705600000036,-
Chon Buri,13.130147000000001,101.057389,342.0,2020-02-20 00:00:22,10500040000000SW30019411273,-
Chon Buri,13.261733,100.934038,195.0,2020-02-20 00:00:22,077000500000000000000412432,-
Chon Buri,12.634193,100.963766,361.0,2020-02-20 00:00:22,007000500000000TA6203282423,-
Chon Buri,13.385041000000001,101.015824,381.0,2020-02-20 00:00:22,004000700000000142180545021,-
Chon Buri,12.946168,100.885215,30.0,2020-02-20 00:00:23,040000200000000835027018212,Teddy Bear Museum
Chon Buri,12.999473,101.082863,349.0,2020-02-20 00:00:23,02800040000000GBNF611200200,-
Chon Buri,12.95444,100.901845,477.0,2020-02-20 00:00:23,080000200000000000025171383,-
Chon Buri,13.007019999999999,101.071961,295.0,2020-02-20 00:00:23,003000900000000011772406272,-
Chon Buri,12.915027,100.89398800000001,743.0,2020-02-20 00:00:24,019000500000520182701000237,-
Chon Buri,13.537521,101.09689300000001,359.0,2020-02-20 00:00:24,14600010000000ASDN610800187,-
Chon Buri,13.278884,101.127503,369.0,2020-02-20 00:00:24,004000700000000143190666776,-
Chon Buri,12.902242999999999,100.892882,783.0,2020-02-20 00:00:25,040000200000864507030024987,-
Chon Buri,12.894727,100.877495,1348.0,2020-02-20 00:00:25,040000400000000142170730942,-
Chon Buri,13.252347,101.155266,296.0,2020-02-20 00:00:25,02800040000000GSBN600703387,-
Chon Buri,13.162448000000001,100.95523,316.0,2020-02-20 00:00:25,084000500000359857080322480,-
Chon Buri,12.940164,100.920643,1379.0,2020-02-20 00:00:26,00400060000000HL1CIA8300213,-
Chon Buri,12.944814,100.896045,443.0,2020-02-20 00:00:27,040000400000000142170526391,-
Chon Buri,13.523273999999999,101.208054,402.0,2020-02-20 00:00:27,00400060000000IL1CIB8300315,-
Chon Buri,13.148313,100.977926,674.0,2020-02-20 00:00:27,0110005GPS4SME-190300400047,-
Chon Buri,13.445243,100.990998,1439.0,2020-02-20 00:00:27,067000500000864507031350852,-
Chon Buri,13.182197,100.929335,326.0,2020-02-20 00:00:27,0190002000000000001228111873,-
Chon Buri,13.052116,101.093475,386.0,2020-02-20 00:00:28,021000300000000001602556308,-
Chon Buri,13.440029999999998,101.07059,408.0,2020-02-20 00:00:28,017000400000000142170627946,-
Chon Buri,12.928742,100.896173,1080.0,2020-02-20 00:00:28,1230001000000INZPIRE0008575,-
Chon Buri,12.8513,100.90369799999999,525.0,2020-02-20 00:00:28,040000400000000142170626924,-
Chon Buri,12.947708,100.888354,326.0,2020-02-20 00:00:29,042000600000359857081294720,-
Chon Buri,13.04594,101.124413,676.0,2020-02-20 00:00:29,02800040000000GPS2600502036,-
Chon Buri,12.947517999999999,100.92310400000001,570.0,2020-02-20 00:00:29,003000800000000003081842079,-
